GeneID	Length	X1h.m1.t.sort.bam	X1h.m1.u.sort.bam	X1h.m2.t.sort.bam	X1h.m2.u.sort.bam	X1h.m3.t.sort.bam	X1h.m3.u.sort.bam	X6h.m1.t.sort.bam	X6h.m1.u.sort.bam	X6h.m2.t.sort.bam	X6h.m2.u.sort.bam	X6h.m3.t.sort.bam	X6h.m3.u.sort.bam
Mir206	73	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	119	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	1171	0	0	3	10	0	0	14	2	11	0	3	1
Il17f	1178	0	0	3	2	3	0	30	2	2	0	2	4
Mcm3	2886	79	69	93	68	79	55	174	53	117	77	82	79
6720483E21Rik	1120	0	0	0	0	0	0	0	0	0	0	0	0
Paqr8	4420	9	8	17	11	9	6	13	4	1	5	5	6
Efhc1	2208	0	0	1	2	2	3	6	2	4	2	0	2
Tram2	1409	22	22	51	29	44	43	68	19	51	29	33	51
Tmem14a	1112	0	3	4	2	4	2	0	3	1	4	2	5
Gsta3	1450	1	1	3	0	3	0	0	3	0	1	2	2
Gm4956	1148	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	1950	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	844	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	2247	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	6980	0	0	2	0	0	0	15	0	0	0	0	1
Rims1	2189	0	0	1	0	0	0	0	0	0	0	0	0
Rims1-2	1877	0	0	0	0	0	0	0	0	0	0	0	0
4933415F23Rik	1781	0	0	0	0	0	0	0	0	0	0	0	0
Mir30a	71	0	0	1	0	0	0	0	0	0	0	0	0
Mir30c-2	84	0	0	1	0	0	0	0	0	0	0	0	0
Ogfrl1	4844	93	41	121	47	71	63	136	42	70	40	60	71
Gm19673	1522	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2	4362	0	0	0	0	0	0	0	0	2	0	1	0
Smap1	2259	306	211	341	278	301	258	565	146	397	236	295	330
1110058L19Rik	667	19	20	20	31	41	34	42	23	30	25	44	42
Fam135a	6467	77	63	96	70	92	61	122	32	123	69	80	70
Col9a1	3888	0	0	0	0	0	0	0	0	0	0	0	0
Col19a1	10542	0	1	0	0	0	2	0	0	0	0	0	0
Lmbrd1	5392	471	450	655	542	609	459	798	317	680	402	545	602
Bai3	5522	0	0	0	0	0	0	0	0	0	0	0	0
Gm20172	1551	0	0	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	4331	0	0	0	0	0	0	0	0	0	0	0	0
Gm5524	2004	0	0	0	0	0	0	0	0	0	0	0	0
Gm7846	467	3	1	4	1	3	0	0	0	7	3	4	1
Gm597	2882	0	0	0	0	0	0	0	0	0	0	0	0
Gm6462	306	0	0	0	0	0	0	0	0	0	0	0	0
Gm9898	1160	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	7561	445	378	635	476	548	418	867	249	706	371	512	597
Ptp4a1	4129	826	619	1024	665	935	664	1237	463	1077	618	839	907
4931428L18Rik	1094	0	0	0	0	0	0	0	0	0	0	0	0
Lgsn	1903	0	0	0	0	0	0	0	0	0	0	0	0
4930521A18Rik	1449	0	0	0	0	0	0	0	0	0	0	0	0
Gm4850	914	0	0	0	0	0	0	0	0	0	0	0	0
Gm6489	762	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	1359	0	0	0	0	0	0	0	0	0	0	0	0
Gm9839	1437	0	0	0	0	0	0	0	0	0	0	0	0
Gm5415	3748	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	1937	35	53	70	48	54	41	85	31	70	28	73	68
1700001G17Rik	889	1	1	0	0	0	0	0	0	0	0	0	1
Rab23	4487	34	19	32	21	30	25	36	25	41	20	25	24
Bag2	1815	7	5	4	1	3	4	5	4	0	0	7	3
Zfp451	3650	134	106	155	144	195	117	103	79	168	105	145	147
Gm15455	3016	1	3	0	1	2	0	0	0	0	1	5	0
Bend6	2292	5	13	9	10	5	6	5	9	6	8	15	12
Dst	23242	3386	2209	3092	2159	2788	2164	4993	1510	3742	1882	2556	2764
Mir5103	79	2	3	1	3	5	3	0	0	0	0	1	2
Ccdc115	1705	100	81	101	93	86	72	180	66	111	61	118	101
Imp4	2249	120	113	155	112	145	126	254	72	127	111	129	143
D1Ertd448e	3559	39	34	55	52	39	47	10	22	44	23	48	55
Ptpn18	1578	3	1	10	11	7	8	14	0	12	2	10	4
Prss39	1246	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	1038	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	1301	0	0	0	0	0	0	0	0	0	0	0	0
Fam123c	4356	0	0	0	0	0	0	0	0	0	0	0	0
AA619741	2676	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	2714	2	7	3	0	2	1	3	4	5	2	4	4
Fam168b	5080	377	351	527	375	453	384	823	254	621	336	424	504
Plekhb2	5469	620	583	822	678	794	650	971	400	888	510	702	747
Hs6st1	3719	132	81	181	163	168	132	198	82	157	99	130	135
Uggt1	9029	768	638	1000	733	961	760	1445	530	1048	651	898	876
Neurl3	2583	103	140	214	203	274	164	145	102	213	124	128	166
Arid5a	5699	59	105	170	201	129	146	191	42	138	78	82	103
4632411B12Rik	4663	183	202	314	249	272	230	199	116	247	156	172	255
Lman2l	2225	78	79	105	103	93	96	160	38	104	62	100	91
Cnnm4	4582	20	31	41	24	29	31	53	15	44	13	32	33
Cnnm3	5283	43	52	51	41	51	43	46	43	80	34	58	48
Ankrd23	1954	5	3	14	4	20	4	8	6	23	9	2	7
Ankrd39	1786	16	17	26	14	16	13	0	9	28	13	13	14
Sema4c	3805	6	24	16	23	25	23	4	12	45	32	15	28
Fam178b	2577	0	0	0	0	0	0	0	0	0	0	0	0
Cox5b	569	127	176	188	159	158	125	275	158	200	121	231	188
Actr1b	2077	196	187	277	232	220	191	448	138	232	151	200	183
4933424G06Rik	1127	1	1	0	0	0	0	0	0	0	0	2	0
Zap70	2180	0	0	1	5	0	0	0	0	2	0	0	0
Tmem131	6548	567	468	715	545	747	558	1061	328	733	445	540	695
Vwa3b	4422	0	0	0	1	0	2	0	0	0	0	0	1
Cnga3	3498	0	0	0	0	0	0	0	0	0	0	0	0
Inpp4a	6817	240	205	321	277	262	198	428	126	332	208	243	257
6330578E17Rik	3862	442	435	984	985	707	649	763	323	863	508	737	854
Unc50	1412	74	81	119	105	72	73	129	64	129	78	135	116
Mgat4a	7054	182	328	279	285	468	349	591	171	300	178	265	226
4930594C11Rik	2755	12	22	15	14	47	27	18	23	33	24	20	14
LOC100861893	736	0	0	0	0	0	0	0	0	0	0	0	0
2010300C02Rik	4361	0	0	0	1	0	0	0	0	0	0	0	0
Gm19863	2218	0	0	0	0	0	0	0	0	0	0	0	0
Tsga10	3400	33	27	39	28	42	31	82	26	79	50	53	70
Lipt1	1555	4	2	7	0	4	5	19	1	9	2	7	6
Mitd1	1229	94	110	214	173	126	86	72	42	157	86	169	167
Mrpl30	691	106	99	182	127	104	99	203	86	144	89	139	115
Lyg2	2564	0	0	0	0	0	0	0	0	0	0	0	0
Lyg1	798	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	4596	198	220	275	250	337	243	377	130	360	215	316	303
Eif5b	7797	540	491	784	671	720	565	870	354	770	529	629	717
Rev1	4262	153	116	178	137	175	114	191	73	246	93	102	195
Aff3	6010	2	6	5	10	12	5	21	4	16	6	6	12
Lonrf2	5077	0	0	0	0	0	0	0	0	0	0	0	0
Chst10	3120	11	2	10	1	5	3	10	5	6	1	6	9
Gm19877	2386	0	0	0	2	0	0	0	0	0	0	0	0
Nms	1001	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	1706	103	102	130	116	120	106	192	86	136	67	125	143
Npas2	4180	0	1	6	5	1	4	0	1	3	4	0	3
Rpl31	1254	528	551	650	571	537	455	705	397	653	395	695	550
Tbc1d8	4440	35	18	47	28	63	25	80	39	38	42	30	53
D1Bwg0212e	3170	35	53	89	66	79	53	53	27	84	39	95	73
Snord89	94	35	29	39	29	45	24	27	22	62	22	40	52
Rnf149	2434	2971	2158	3104	1953	2481	1855	4118	1898	4308	2697	3537	3597
Creg2	5799	135	126	151	68	113	80	276	87	265	128	167	161
Rfx8	2000	0	0	0	0	0	0	0	0	2	0	2	0
Gm3646	359	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	531	0	0	0	0	0	0	0	0	0	0	0	0
Map4k4	5974	1229	827	1267	987	1338	988	1831	742	1587	907	1133	1233
Gm16894	858	0	0	0	0	0	0	0	0	2	0	0	0
Il1r2	1343	2	3	0	2	1	2	0	0	0	0	0	1
Il1r1	5035	41	42	17	8	36	20	67	32	24	20	23	22
Il1rl2	1950	184	129	181	109	163	96	214	85	173	138	139	112
Il1rl1	6967	2	1	8	8	6	4	26	4	3	1	7	20
Il18r1	4781	0	2	4	11	1	5	8	0	1	2	7	2
Il18rap	2487	0	1	5	10	3	1	0	0	4	0	6	6
Slc9a4	3822	115	62	96	33	44	33	132	38	95	35	78	63
Slc9a2	3493	3	0	0	0	1	1	7	0	0	0	0	0
Mfsd9	3152	30	21	41	33	31	23	39	13	25	21	43	22
Tmem182	1096	0	0	1	0	0	0	0	0	0	0	0	0
4930448I06Rik	573	0	0	0	0	0	0	0	0	0	0	0	0
2610017I09Rik	546	0	0	0	0	0	0	0	0	0	0	0	0
Pou3f3	3065	0	0	0	0	0	0	0	0	0	0	0	0
2900092D14Rik	2841	0	0	0	0	0	0	0	0	0	0	0	0
Mrps9	1419	83	58	80	67	93	67	118	41	118	72	131	91
Gpr45	3860	0	0	0	0	0	0	0	0	0	0	0	0
Tgfbrap1	5538	192	141	259	160	220	162	311	107	263	121	190	191
AI597479	3457	65	45	91	72	91	66	86	52	113	49	102	65
Fhl2	1563	0	0	0	0	1	1	0	0	4	0	7	0
Gm8210	647	370	306	440	339	348	301	634	264	485	250	425	377
Nck2	2775	10	4	33	15	22	18	5	14	14	13	10	11
LOC100861934	1421	2	0	0	3	13	4	0	1	9	1	2	4
1500015O10Rik	888	0	0	0	0	0	0	0	0	0	0	0	0
Uxs1	1263	57	77	76	67	69	61	82	32	85	46	58	70
Gm19587	585	0	1	0	0	0	0	0	0	0	0	0	0
Tpp2	4649	456	378	580	471	556	400	825	291	689	397	454	558
A530098C11Rik	1086	0	0	0	0	0	0	0	0	0	0	0	0
1700029F09Rik	1265	29	24	43	25	25	25	42	15	45	18	26	34
Kdelc1	2324	66	53	80	49	53	59	70	43	80	45	72	74
Bivm	3571	58	55	84	67	72	52	68	23	65	51	50	72
Ercc5	4010	43	56	82	58	58	50	112	28	67	36	59	64
LOC100861960	766	1	0	0	0	0	0	0	0	0	0	0	0
4832428D23Rik	3181	0	0	0	0	0	0	0	0	0	0	0	0
Gulp1	2976	0	0	0	1	0	2	0	0	0	0	0	0
4930521E06Rik	906	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	5564	19	13	115	135	56	77	76	16	34	17	26	43
Col5a2	6615	9	11	50	88	45	48	42	27	58	27	24	37
Wdr75	2612	139	126	153	135	124	103	208	76	251	86	159	174
Gm5526	641	60	77	72	91	79	54	74	45	76	45	107	64
Slc40a1	3380	0	1	3	5	2	0	11	2	2	4	6	5
Gm3852	717	0	0	0	0	0	0	0	0	0	0	0	0
Gm4776	3483	0	0	0	0	0	1	0	0	0	0	0	0
Dnahc7b	12318	0	0	0	0	1	0	0	0	1	0	0	2
Dnahc7c	12384	0	0	0	0	0	0	0	0	2	0	0	0
Slc39a10	4961	32	41	36	36	51	51	115	30	102	49	58	92
C230029F24Rik	542	0	0	0	0	0	0	0	0	0	0	0	0
Tmeff2	3339	0	0	1	0	0	0	0	0	0	0	0	0
9330175M20Rik	2552	0	0	0	0	0	0	0	0	0	0	0	0
Sdpr	3055	0	0	0	0	0	0	0	0	0	0	2	0
Obfc2a	2838	133	149	199	144	249	154	208	66	228	121	152	214
Gm17767	3051	0	1	0	5	0	0	0	0	1	0	0	0
Myo1b	5042	128	120	118	57	167	84	199	160	93	161	84	168
Stat4	2981	4	7	28	13	28	22	21	10	6	11	16	23
Gm3940	432	0	0	0	0	0	0	0	0	0	0	0	0
Stat1	5356	701	769	3004	2616	2135	1917	1039	610	3028	1380	2263	2737
Gls	7488	543	458	693	568	622	532	1127	389	999	509	702	793
Nab1	5088	505	367	649	454	529	401	875	266	668	446	587	535
Tmem194b	3394	6	7	9	7	16	2	14	10	6	9	4	10
Mfsd6	5591	16	17	29	22	23	12	13	0	20	8	14	10
Inpp1	1776	4	6	16	18	11	10	11	0	2	2	14	6
Hibch	1704	26	29	28	11	23	12	22	7	9	8	2	10
1700019D03Rik	834	0	0	0	0	0	0	0	0	0	0	0	0
Mstn	2682	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	627	0	0	0	1	2	0	0	0	0	0	0	0
Pms1	3032	34	33	35	46	40	28	41	24	58	29	38	32
Ormdl1	1846	74	114	113	115	124	100	122	52	143	95	114	132
Osgepl1	2283	16	16	27	19	28	13	27	5	27	16	26	17
Asnsd1	2362	229	171	220	169	213	165	316	108	325	156	271	247
Dnahc7a	12272	0	0	0	0	0	0	0	0	0	0	0	0
Stk17b	3278	172	170	286	185	271	193	421	132	307	208	268	277
Hecw2	11336	2	4	3	4	1	3	10	1	0	2	0	0
Ccdc150	3807	0	0	0	0	1	0	0	0	2	2	2	1
Gtf3c3	3005	93	107	153	142	169	107	258	88	167	103	133	151
Pgap1	10579	118	135	436	346	326	260	248	113	539	249	362	494
Ankrd44	6140	137	119	207	120	200	143	255	99	237	148	153	134
Sf3b1	6192	897	797	1386	1109	1318	992	1636	571	1355	741	1141	1147
Coq10b	1733	77	82	126	119	122	100	248	62	167	72	113	147
Hspd1	2332	948	754	959	856	860	736	1536	509	1220	726	1086	1102
Hspe1	768	219	169	229	204	199	217	346	135	283	160	253	220
Mob4	2826	159	90	243	160	200	125	233	94	250	139	221	209
Rftn2	3677	6	3	12	9	12	9	17	4	10	5	9	8
Mars2	2882	15	7	14	14	18	21	35	13	42	31	18	12
Boll	1258	1	0	1	0	0	0	0	0	0	0	0	0
Plcl1	6555	1	2	2	2	1	0	1	0	2	0	2	0
Gm6644	1369	45	40	50	31	39	27	77	45	31	32	21	34
9130227L01Rik	1906	4	7	1	2	4	2	20	0	6	0	3	7
Hsfy2	1408	0	0	0	0	0	0	0	0	0	0	0	0
Satb2	5286	64	91	73	66	119	92	200	32	150	58	100	136
9130024F11Rik	3728	0	1	0	0	0	0	6	2	2	2	1	3
BC055402	3304	0	0	0	0	0	0	0	0	0	0	0	0
4930558J18Rik	2052	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	3008	26	45	51	43	38	40	100	19	49	37	46	40
1110034B05Rik	1442	26	33	61	25	54	26	47	29	68	19	38	45
9430016H08Rik	1325	34	30	51	40	42	32	74	48	82	34	65	60
Spats2l	4045	0	0	15	4	4	1	0	3	5	3	3	7
Kctd18	2733	39	38	64	57	68	43	70	34	79	30	58	64
Sgol2	5416	11	6	18	8	4	5	10	7	12	1	6	12
Aox1	4382	16	11	26	17	28	11	1	8	23	21	17	24
Aox3	4360	0	0	0	0	0	0	0	0	0	0	0	0
Aox4	4973	0	0	0	0	0	0	0	0	0	0	0	0
Aox3l1	4776	1	0	0	1	0	0	0	1	0	0	4	1
Bzw1	2833	766	734	935	693	960	748	1695	550	1450	764	1139	951
Clk1	3088	262	206	450	348	373	285	497	166	419	269	375	368
Ppil3	1630	67	61	72	82	74	55	63	37	81	51	66	93
Nif3l1	2105	67	54	88	51	74	59	81	43	97	44	57	64
Orc2	3371	147	136	161	120	129	105	263	74	213	112	167	167
Gm15834	2126	3	2	3	0	3	2	0	1	7	2	3	4
Fam126b	8695	305	126	344	156	230	157	389	122	308	205	215	253
Ndufb3	532	137	99	169	110	118	89	191	92	136	96	115	118
Gm20257	936	8	5	21	15	6	7	34	10	16	11	9	10
Als2cr12	1579	5	1	1	0	1	0	0	0	0	1	1	2
Cflar	7814	2973	2323	5264	3607	3284	2791	3981	1553	4722	2579	3674	3739
Casp8	2777	268	289	460	456	420	305	422	152	369	252	319	362
Trak2	6240	391	332	459	342	390	306	562	191	427	274	385	420
Stradb	2318	77	40	71	62	64	49	52	47	111	63	81	69
Als2cr11	2131	0	0	0	0	0	0	0	0	0	0	0	0
Als2cr4	1972	85	66	100	69	81	78	91	50	113	77	99	104
Mpp4	3087	0	1	2	0	0	1	0	1	1	0	1	2
Als2	7038	161	154	263	205	261	210	239	115	292	157	178	253
Cdk15	1477	0	0	0	0	0	0	0	0	0	0	0	0
Fzd7	4809	61	69	71	99	125	88	135	67	144	84	104	95
Gm973	3595	0	0	0	0	1	0	0	0	0	1	0	0
Sumo1	1215	209	187	335	266	259	206	408	172	373	194	313	253
Nop58	1976	134	92	138	115	128	120	212	82	184	89	167	159
Snord70	53	0	0	3	1	5	1	7	5	2	0	3	0
Snord11	63	0	0	0	0	0	1	0	0	3	1	0	0
Bmpr2	3507	284	258	353	305	334	278	596	182	432	267	322	365
Gm20272	314	22	32	41	23	30	28	31	23	26	22	34	33
Fam117b	5532	139	78	184	143	185	140	173	59	147	101	107	117
Ica1l	3650	1	0	0	2	0	0	0	0	0	0	0	0
Wdr12	3376	65	94	90	68	91	72	124	54	119	69	99	78
Carf	2604	28	20	34	20	36	17	25	3	48	26	22	36
Gm15464	431	2	5	5	1	5	6	2	2	2	3	2	12
Nbeal1	12108	314	273	418	322	503	314	524	222	487	310	371	459
Cyp20a1	1501	110	108	82	92	97	120	278	82	150	120	132	125
Abi2	5974	99	116	116	88	154	122	248	98	173	124	148	151
Raph1	9117	331	384	466	332	618	431	599	243	609	357	382	454
Gm11575	207	3	5	9	1	6	5	30	4	10	3	5	4
Gm11578	791	0	0	0	0	0	0	0	0	0	0	0	0
Cd28	4317	0	0	1	0	0	1	0	0	0	0	0	1
Gm11579	845	0	0	0	0	0	0	0	0	0	0	0	0
Ctla4	1931	0	0	3	2	0	3	0	1	0	0	0	0
Icos	3254	0	0	0	8	1	1	0	2	3	1	0	1
9530026F06Rik	892	0	0	0	0	0	0	0	0	0	0	0	0
Pard3b	8392	3	0	0	0	1	0	5	1	0	1	1	1
Nrp2	8122	2231	3091	3945	4163	3738	3599	5688	1904	5785	2836	4279	4628
4930487H11Rik	895	0	0	0	0	0	0	0	0	5	0	0	0
Ino80d	13529	401	424	574	417	544	438	779	249	675	347	436	558
Gm11602	1802	7	4	3	3	8	3	7	0	5	3	3	2
Gm20342	1301	9	12	11	4	13	9	0	6	4	15	9	7
Ndufs1	2927	284	213	334	263	288	232	415	146	371	197	271	278
Eef1b2	1933	349	342	443	357	295	318	729	271	515	279	458	406
Snora41	113	2	0	4	1	0	1	0	0	0	2	1	1
Gpr1	1606	0	0	0	0	0	0	0	0	0	0	0	0
Zdbf2	12621	0	0	0	1	1	1	0	1	9	0	0	1
Adam23	6879	2	2	0	1	3	1	0	0	3	0	0	4
Dytn	2427	0	0	0	0	0	0	0	0	0	0	0	0
Mdh1b	1711	0	0	0	0	0	0	0	0	0	0	0	0
Fastkd2	3205	86	103	111	93	94	89	144	69	163	79	140	131
4933402D24Rik	1756	0	0	0	0	0	0	0	0	0	0	0	0
Gm13749	1432	0	0	0	0	0	0	0	0	0	0	0	0
Klf7	1344	97	97	86	72	196	118	243	117	178	137	112	135
Creb1	8421	181	209	347	296	324	296	491	151	400	232	320	328
Mettl21a	2666	20	27	29	26	38	21	88	17	37	8	47	23
2810408I11Rik	713	0	0	2	1	1	0	0	1	6	0	0	1
Ccnyl1	2927	33	45	57	47	48	49	78	37	77	37	39	56
Fzd5	6914	16	13	41	39	33	35	44	21	85	19	42	44
Plekhm3	8562	1248	783	1558	845	922	786	1214	627	1439	822	1095	1183
Akr1cl	1353	0	0	0	0	0	0	0	0	0	0	0	0
Gm8550	1020	0	1	0	0	0	0	0	0	0	0	0	0
Cryge	642	0	0	0	0	0	0	0	0	0	0	0	0
Crygd	635	0	0	0	0	0	0	0	0	0	0	0	0
Crygc	612	0	0	0	0	0	0	0	0	0	0	0	0
Crygb	605	0	0	0	0	0	0	0	0	0	0	0	0
Cryga	615	0	0	0	0	0	0	0	0	0	0	0	0
D630023F18Rik	2180	0	0	0	0	0	0	0	0	0	0	0	0
Idh1	2438	290	186	295	265	439	259	494	220	350	243	303	329
Pikfyve	11255	476	497	754	699	684	517	962	307	818	451	604	698
Pth2r	2414	0	0	0	0	0	0	0	0	0	0	0	0
Crygf	622	0	0	0	0	0	0	0	0	0	0	0	0
Mtap2	5520	0	0	0	0	0	0	0	0	2	0	0	0
Gm10558	1663	0	0	0	0	0	0	0	0	0	0	0	0
Unc80	13533	0	0	0	0	0	0	0	0	0	0	0	0
Rpe	2630	291	224	356	239	310	251	329	181	375	217	327	279
1110028C15Rik	4760	40	58	83	65	70	79	194	32	80	54	82	60
Acadl	1892	384	277	458	330	489	333	463	241	439	316	393	482
LOC100862127	515	0	0	0	0	0	0	0	0	0	0	0	0
Myl1	1111	0	0	0	0	0	0	0	0	0	0	0	0
Lancl1	4461	27	24	48	47	30	25	34	29	39	20	34	30
Cps1	4704	0	0	0	0	0	0	0	0	0	0	0	0
Erbb4	4257	0	0	0	0	0	0	0	0	0	0	0	0
Gm19335	2069	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf2	9424	16	23	21	26	21	22	0	0	13	6	24	13
Spag16	2270	0	0	0	0	0	0	0	0	0	0	0	0
Vwc2l	4655	0	0	0	0	0	0	0	0	0	0	2	0
Bard1	5448	9	2	5	7	14	5	0	6	16	4	11	6
Abca12	8323	0	0	0	0	0	0	0	0	0	0	0	0
Atic	2611	151	163	193	111	164	143	168	100	158	124	173	177
Fn1	8312	1805	920	2133	1962	1668	1415	1728	602	1543	565	965	1552
Apol7d	1193	0	0	0	0	0	0	0	0	0	0	0	0
Gm8883	1019	0	0	0	0	0	0	0	0	0	0	0	0
4933417E11Rik	1093	0	0	0	0	0	0	0	0	0	0	0	0
Gm5528	483	0	0	0	0	0	0	0	0	0	0	0	0
Mreg	2493	212	188	282	277	248	230	247	98	388	172	315	284
Pecr	1186	4	6	7	2	2	5	0	2	0	7	12	7
Tmem169	2815	0	0	0	0	0	0	0	0	0	0	0	0
